Chiptime,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Temperature (°C),Longitude,Latitude
2024-12-19 16:3:13.24,0.001,0.001,-0.9722,29.03,108.831776,34.12612717
2024-12-19 16:3:13.34,-0.001,0.0,-0.9741,29.1,0.0,0.0
2024-12-19 16:3:13.55,-0.0034,0.001,-0.9712,29.16,108.83177567,34.12612733
2024-12-19 16:3:13.65,-0.002,0.0,-0.9697,29.1,108.83177567,34.12612733
2024-12-19 16:3:13.75,0.0,0.0,-0.9731,29.16,108.83177567,34.12612733
2024-12-19 16:3:13.85,-0.001,0.001,-0.9722,28.97,108.83177567,34.12612733
2024-12-19 16:3:13.105,-0.002,0.0,-0.9731,28.97,108.83177567,34.12612733
2024-12-19 16:3:13.115,-0.0005,-0.001,-0.9731,28.97,108.83177567,34.12612733
2024-12-19 16:3:13.125,0.002,0.0015,-0.9727,29.16,108.83177567,34.12612733
2024-12-19 16:3:13.149,0.0015,-0.0015,-0.9722,29.1,108.83177567,34.12612733
2024-12-19 16:3:13.159,0.002,-0.0015,-0.9761,28.78,108.83177567,34.12612733
2024-12-19 16:3:13.169,0.0005,-0.0015,-0.9741,28.97,108.83177567,34.12612733
2024-12-19 16:3:13.179,0.0044,0.0,-0.9736,28.97,108.83177567,34.12612733
2024-12-19 16:3:13.189,0.0015,-0.002,-0.9736,29.1,108.83177567,34.12612733
2024-12-19 16:3:13.199,0.001,0.0015,-0.9712,29.16,108.83177567,34.12612733
2024-12-19 16:3:13.209,-0.001,-0.0005,-0.9712,29.1,108.83177567,34.12612733
2024-12-19 16:3:13.219,0.0005,0.0,-0.9712,29.1,108.83177567,34.12612733
2024-12-19 16:3:13.229,0.0,-0.001,-0.9741,28.97,108.83177567,34.12612733
2024-12-19 16:3:13.239,-0.002,0.0005,-0.9697,29.1,108.83177567,34.12612733
2024-12-19 16:3:13.249,-0.0029,0.0024,-0.9707,29.1,108.83177567,34.12612733
2024-12-19 16:3:13.259,-0.001,0.0029,-0.9712,29.1,108.83177567,34.12612733
2024-12-19 16:3:13.269,-0.001,0.0015,-0.9736,28.78,108.83177567,34.12612733
2024-12-19 16:3:13.279,-0.0005,0.0,-0.9697,29.03,108.83177567,34.12612733
2024-12-19 16:3:13.289,0.0,0.0005,-0.9722,29.1,108.83177567,34.12612733
2024-12-19 16:3:13.299,-0.001,-0.0015,-0.9727,29.1,108.83177567,34.12612733
2024-12-19 16:3:13.309,0.001,0.0,-0.9717,29.03,108.83177567,34.12612733
2024-12-19 16:3:13.255,0.002,-0.0005,-0.9717,28.97,108.83177567,34.1261275
2024-12-19 16:3:13.265,0.0,-0.0015,-0.9736,28.78,108.83177567,34.1261275
2024-12-19 16:3:13.275,0.0015,-0.001,-0.9761,29.03,108.83177567,34.1261275
2024-12-19 16:3:13.285,0.0005,-0.0005,-0.9751,29.16,108.83177567,34.1261275
2024-12-19 16:3:13.295,0.0005,-0.0005,-0.9731,28.97,108.83177567,34.1261275
2024-12-19 16:3:13.355,0.0005,-0.0005,-0.9722,28.97,108.83177567,34.1261275
2024-12-19 16:3:13.365,0.002,0.001,-0.9736,29.16,108.83177567,34.1261275
2024-12-19 16:3:13.375,0.0,0.0,-0.9756,29.1,108.83177567,34.1261275
2024-12-19 16:3:13.385,-0.0015,0.0,-0.9722,28.97,108.83177567,34.1261275
2024-12-19 16:3:13.395,-0.001,0.0024,-0.9668,28.97,108.83177567,34.1261275
2024-12-19 16:3:13.405,-0.0034,0.0024,-0.9712,28.91,108.83177567,34.1261275
2024-12-19 16:3:13.415,0.0,0.001,-0.9727,28.97,108.83177567,34.1261275
2024-12-19 16:3:13.425,-0.001,0.0005,-0.9673,29.16,108.83177567,34.1261275
2024-12-19 16:3:13.435,0.0005,0.001,-0.9717,28.91,108.83177567,34.1261275
2024-12-19 16:3:13.445,0.0005,0.0,-0.9717,28.97,108.83177567,34.1261275
2024-12-19 16:3:13.455,0.0,0.0005,-0.9702,28.97,108.83177567,34.1261275
2024-12-19 16:3:13.449,0.0005,0.0015,-0.9731,29.1,108.8317765,34.12612717
2024-12-19 16:3:13.459,0.0,-0.001,-0.9722,28.91,108.8317765,34.12612717
2024-12-19 16:3:13.469,0.001,-0.001,-0.9722,28.97,108.8317765,34.12612717
2024-12-19 16:3:13.479,0.0024,-0.0015,-0.9741,29.03,108.8317765,34.12612717
2024-12-19 16:3:13.500,0.001,-0.0015,-0.9761,28.91,108.8317765,34.12612717
2024-12-19 16:3:13.510,0.002,0.0029,-0.9736,29.16,108.8317765,34.12612717
2024-12-19 16:3:13.520,0.0,-0.0005,-0.9712,29.1,108.8317765,34.12612717
2024-12-19 16:3:13.530,-0.0005,-0.001,-0.9731,28.97,108.8317765,34.12612717
2024-12-19 16:3:13.555,-0.002,-0.0005,-0.9727,29.03,108.8317765,34.12612717
2024-12-19 16:3:13.565,-0.001,0.001,-0.9707,29.1,108.8317765,34.12612717
