Time,X,Y,Z,Magnitude,Filtered Magnitude
0.006,-0.15686,-0.31067,0.03782,0.350073,0.350073
0.016,-0.17243,-0.3414,0.04093,0.384657,0.367365
0.025,-0.17475,-0.34447,0.04183,0.388519,0.374416
0.035,-0.17476,-0.34503,0.042,0.389038,0.378072
0.044,-0.17466,-0.34467,0.04252,0.388731,0.380204
0.054,-0.174,-0.34455,0.04283,0.388362,0.381563
0.063,-0.17458,-0.34462,0.04303,0.388706,0.382584
0.072,-0.17442,-0.34438,0.04279,0.388395,0.38331
0.082,-0.17397,-0.3446,0.0426,0.388368,0.383872
0.091,-0.17425,-0.34471,0.04225,0.388553,0.38434
0.101,-0.17396,-0.34472,0.04179,0.388382,0.388171
0.11,-0.17371,-0.34447,0.04115,0.387979,0.388503
0.12,-0.17336,-0.34478,0.04151,0.388137,0.388465
0.129,-0.17365,-0.34481,0.04138,0.388279,0.388389
0.139,-0.17368,-0.34515,0.04128,0.388584,0.388374
0.148,-0.17412,-0.34485,0.04178,0.388568,0.388395
0.158,-0.17341,-0.34499,0.04157,0.388352,0.38836
0.167,-0.17409,-0.34517,0.04172,0.388832,0.388403
0.177,-0.17416,-0.3451,0.04174,0.388803,0.388447
0.186,-0.17416,-0.34518,0.04174,0.388874,0.388479
0.196,-0.17363,-0.34477,0.04132,0.388228,0.388464
0.205,-0.17411,-0.3454,0.04178,0.389051,0.388571
0.215,-0.1733,-0.34546,0.04107,0.388667,0.388624
0.224,-0.17505,-0.34571,0.04091,0.389656,0.388762
0.233,-0.17447,-0.34499,0.04107,0.388773,0.38878
0.243,-0.17463,-0.34525,0.0415,0.389121,0.388836
0.252,-0.17453,-0.34528,0.04155,0.389108,0.388911
0.262,-0.17474,-0.34536,0.04172,0.389292,0.388957
0.271,-0.17455,-0.34512,0.04174,0.388996,0.388977
0.281,-0.17474,-0.3451,0.04149,0.389037,0.388993
0.29,-0.17401,-0.34459,0.04146,0.388253,0.388996
0.3,-0.17372,-0.34479,0.04112,0.388265,0.388917
0.309,-0.17369,-0.34506,0.04142,0.388523,0.388902
0.319,-0.17347,-0.34484,0.04129,0.388216,0.388758
0.328,-0.17334,-0.34524,0.04144,0.388529,0.388734
0.338,-0.17344,-0.34486,0.04137,0.388228,0.388645
0.347,-0.17441,-0.34465,0.04162,0.388503,0.388584
0.357,-0.17387,-0.34497,0.04131,0.388512,0.388506
0.366,-0.17413,-0.34483,0.04111,0.388483,0.388455
0.376,-0.1733,-0.34482,0.04125,0.388118,0.388363
0.385,-0.17375,-0.3449,0.04177,0.388445,0.388382
0.394,-0.17369,-0.34516,0.04149,0.388619,0.388418
0.404,-0.17412,-0.34527,0.04146,0.388906,0.388456
0.413,-0.1733,-0.34519,0.04146,0.388469,0.388481
0.423,-0.17397,-0.34502,0.04129,0.388599,0.388488
0.432,-0.17404,-0.34442,0.04127,0.388096,0.388475
0.442,-0.17437,-0.34436,0.0411,0.388173,0.388442
0.451,-0.17397,-0.34402,0.04092,0.387672,0.388358
0.461,-0.17296,-0.34457,0.0409,0.387707,0.38828
0.47,-0.17318,-0.34462,0.04073,0.387831,0.388252
0.48,-0.17266,-0.34546,0.04037,0.388309,0.388238
0.489,-0.1738,-0.34546,0.04068,0.388849,0.388261
0.499,-0.17316,-0.34488,0.04079,0.38806,0.388176
0.508,-0.17374,-0.34532,0.04072,0.388702,0.3882
0.518,-0.1738,-0.34553,0.04096,0.388941,0.388234
0.527,-0.17434,-0.34514,0.04107,0.388848,0.388309
0.537,-0.17397,-0.34493,0.04117,0.388506,0.388343
0.546,-0.1749,-0.34533,0.04134,0.389297,0.388505
0.556,-0.17499,-0.34503,0.04103,0.389038,0.388638
0.565,-0.17543,-0.34475,0.0415,0.389038,0.388759
0.574,-0.17408,-0.34498,0.04138,0.388622,0.38879
0.584,-0.17416,-0.345,0.04137,0.388675,0.388773
0.593,-0.17384,-0.34525,0.04136,0.388753,0.388842
0.603,-0.17424,-0.34511,0.04145,0.388817,0.388853
0.612,-0.17406,-0.34543,0.04112,0.388985,0.388858
0.622,-0.17426,-0.34488,0.04126,0.388602,0.388833
0.631,-0.17417,-0.34499,0.04127,0.38866,0.388849
0.641,-0.1733,-0.34483,0.04127,0.388129,0.388732
0.65,-0.17365,-0.34482,0.04119,0.388268,0.388655
0.66,-0.17336,-0.34498,0.04126,0.388288,0.38858
0.669,-0.17376,-0.34483,0.04152,0.388361,0.388554
0.679,-0.17315,-0.34507,0.0413,0.388278,0.388514
0.688,-0.17396,-0.34501,0.04102,0.388557,0.388494
0.698,-0.1736,-0.34458,0.04108,0.38802,0.388415
0.707,-0.17378,-0.34454,0.04134,0.388093,0.388326
0.717,-0.17348,-0.34495,0.04111,0.388299,0.388295
0.726,-0.17431,-0.34466,0.041,0.388401,0.388269
0.736,-0.17364,-0.34463,0.04108,0.388083,0.388265
0.745,-0.17422,-0.34505,0.04134,0.388743,0.388312
0.754,-0.17406,-0.34509,0.04195,0.388772,0.388361
0.764,-0.17448,-0.34459,0.04218,0.388542,0.388379
0.773,-0.17398,-0.34463,0.04136,0.388265,0.388378
0.783,-0.17371,-0.34463,0.04145,0.388153,0.388337
0.792,-0.17358,-0.34471,0.04171,0.388194,0.388355
0.802,-0.17378,-0.34439,0.04148,0.387975,0.388343
0.811,-0.1738,-0.34427,0.04129,0.387857,0.388299
0.821,-0.17359,-0.34476,0.0411,0.388178,0.388276
0.83,-0.17368,-0.34464,0.04125,0.388128,0.388281
0.84,-0.17347,-0.34471,0.0411,0.38808,0.388214
0.849,-0.17366,-0.3448,0.04134,0.38827,0.388164
0.859,-0.17368,-0.3444,0.04128,0.387918,0.388102
0.868,-0.17422,-0.3441,0.04161,0.387929,0.388068
0.878,-0.17352,-0.34441,0.04139,0.387867,0.38804
