Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(бу)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2076-28-187 8:1:9.409	-0.0005	0.0	1.0146	0.0	0.0	0.0	0.176	1.868	-19.869	24.32	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:1:9.409	-0.0005	0.0	1.0146	0.0	0.0	0.0	0.176	1.868	-19.869	24.32	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:1:9.535	0.0	0.0	1.0146	0.0	0.0	0.0	0.17	1.873	-19.869	24.35	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:1:9.535	0.0	0.0	1.0146	0.0	0.0	0.0	0.17	1.873	-19.869	24.35	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:1:9.624	0.0	0.0	1.0156	0.0	0.0	0.0	0.176	1.873	-19.869	24.32	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:1:9.624	0.0	0.0	1.0156	0.0	0.0	0.0	0.176	1.873	-19.869	24.32	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:1:9.714	0.0	0.0	1.0146	0.0	0.0	0.0	0.17	1.873	-19.869	24.33	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:1:9.714	0.0	0.0	1.0146	0.0	0.0	0.0	0.17	1.873	-19.869	24.33	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:1:9.830	0.0	0.0	1.0156	0.0	0.0	0.0	0.176	1.873	-19.869	24.35	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:1:9.830	0.0	0.0	1.0156	0.0	0.0	0.0	0.176	1.873	-19.869	24.35	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:1:9.934	0.0	0.0	1.0142	0.0	0.0	0.0	0.176	1.873	-19.869	24.32	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:1:9.934	0.0	0.0	1.0142	0.0	0.0	0.0	0.176	1.873	-19.869	24.32	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:1:10.9	0.0	0.0	1.0151	0.0	0.0	0.0	0.176	1.873	-19.869	24.33	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:1:10.9	0.0	0.0	1.0151	0.0	0.0	0.0	0.176	1.873	-19.869	24.33	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:1:10.109	0.0	0.0	1.0151	0.0	0.0	0.0	0.176	1.873	-19.869	24.32	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:1:10.109	0.0	0.0	1.0151	0.0	0.0	0.0	0.176	1.873	-19.869	24.32	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:1:10.224	0.0005	0.0	1.0156	0.0	0.0	0.0	0.176	1.873	-19.869	24.27	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:1:10.224	0.0005	0.0	1.0156	0.0	0.0	0.0	0.176	1.873	-19.869	24.27	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:1:10.330	0.0005	0.0	1.0151	0.0	0.0	0.0	0.176	1.873	-19.869	24.35	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:1:10.330	0.0005	0.0	1.0151	0.0	0.0	0.0	0.176	1.873	-19.869	24.35	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
