Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(бу)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2076-28-187 8:0:0.315	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:0.315	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:0.440	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:0.440	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:0.530	0.0	0.0	1.0161	0.0	0.0	0.0	0.258	-1.642	68.236	28.91	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:0.530	0.0	0.0	1.0161	0.0	0.0	0.0	0.258	-1.642	68.236	28.91	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:0.620	0.0	-0.0005	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.84	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:0.620	0.0	-0.0005	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.84	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:0.710	0.0	0.0	1.0146	0.0	0.0	0.0	0.258	-1.642	68.236	28.88	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:0.710	0.0	0.0	1.0146	0.0	0.0	0.0	0.258	-1.642	68.236	28.88	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:0.835	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:0.835	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
