Chiptime,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Temperature (°C),Longitude,Latitude
2024-12-14 1:50:49.810,0.0015,-0.0015,1.0059,25.12,0.0,0.0
2024-12-14 1:50:49.799,0.0,-0.0049,1.0024,25.06,0.0,0.0
2024-12-14 1:50:49.809,0.0,-0.001,1.0054,25.18,0.0,0.0
2024-12-14 1:50:49.855,0.001,-0.0039,1.0034,25.12,0.0,0.0
2024-12-14 1:50:49.865,-0.001,0.001,1.0083,25.06,0.0,0.0
2024-12-14 1:50:49.875,0.0,-0.0005,1.002,24.74,0.0,0.0
2024-12-14 1:50:49.885,0.0,-0.001,1.0078,25.06,0.0,0.0
2024-12-14 1:50:49.895,0.0,0.0015,1.0039,25.18,0.0,0.0
2024-12-14 1:50:49.905,-0.0005,0.0015,1.0063,25.12,0.0,0.0
2024-12-14 1:50:49.915,0.0015,0.0024,1.0054,25.0,0.0,0.0
2024-12-14 1:50:49.904,-0.001,0.002,1.0049,25.06,0.0,0.0
2024-12-14 1:50:49.914,-0.0015,0.0024,1.0083,25.06,0.0,0.0
2024-12-14 1:50:49.924,0.001,0.001,1.0073,25.0,0.0,0.0
2024-12-14 1:50:49.934,0.0,0.0,1.0059,25.12,0.0,0.0
2024-12-14 1:50:49.955,-0.0005,-0.0015,1.0059,25.0,0.0,0.0
2024-12-14 1:50:49.965,0.001,0.0,1.0034,25.18,0.0,0.0
2024-12-14 1:50:49.975,0.0015,-0.0015,1.0054,25.12,0.0,0.0
2024-12-14 1:50:50.0,-0.0024,0.0,1.0073,25.18,0.0,0.0
2024-12-14 1:50:50.10,0.002,-0.0015,1.0059,25.18,0.0,0.0
2024-12-14 1:50:50.20,0.0,0.0,1.002,25.12,0.0,0.0
2024-12-14 1:50:50.30,0.0029,-0.0029,1.0039,25.06,0.0,0.0
2024-12-14 1:50:50.40,0.0005,-0.0029,1.0093,25.0,0.0,0.0
2024-12-14 1:50:50.50,-0.002,-0.0024,1.0054,25.18,0.0,0.0
2024-12-14 1:50:50.60,-0.0005,0.0,1.0078,25.06,0.0,0.0
2024-12-14 1:50:50.70,0.0,-0.001,1.0059,25.18,0.0,0.0
2024-12-14 1:50:50.54,-0.002,0.0,1.0044,25.25,0.0,0.0
2024-12-14 1:50:50.64,0.0005,0.0005,1.0044,25.0,0.0,0.0
2024-12-14 1:50:50.74,0.0005,0.0005,1.0034,25.06,0.0,0.0
2024-12-14 1:50:50.84,-0.002,0.0024,1.0088,25.12,0.0,0.0
2024-12-14 1:50:50.94,-0.0015,0.0005,1.0029,25.06,0.0,0.0
2024-12-14 1:50:50.104,-0.002,0.002,1.0044,25.06,0.0,0.0
2024-12-14 1:50:50.114,-0.0015,0.002,1.0054,25.12,0.0,0.0
2024-12-14 1:50:50.124,0.0,0.0005,1.0083,25.06,0.0,0.0
