Chiptime,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Temperature (°C),Longitude,Latitude
2024-12-14 2:0:55.775,0.0024,0.0029,1.0029,25.06,0.0,0.0
2024-12-14 2:0:55.799,0.0,0.0015,1.0044,25.12,0.0,0.0
2024-12-14 2:0:55.809,0.001,-0.0005,1.0063,25.12,0.0,0.0
2024-12-14 2:0:55.819,0.0,0.002,1.0034,25.12,0.0,0.0
2024-12-14 2:0:55.829,0.0,0.0,1.0034,24.87,0.0,0.0
2024-12-14 2:0:55.839,0.0015,0.001,1.0054,25.12,0.0,0.0
2024-12-14 2:0:55.850,-0.0015,0.0005,1.0063,25.06,0.0,0.0
2024-12-14 2:0:55.860,-0.0005,0.0005,1.0054,25.18,0.0,0.0
2024-12-14 2:0:55.870,-0.002,0.0015,1.0059,25.37,0.0,0.0
2024-12-14 2:0:55.880,-0.0015,-0.001,1.0059,24.87,0.0,0.0
2024-12-14 2:0:55.904,-0.001,0.0005,1.0078,25.18,0.0,0.0
2024-12-14 2:0:55.914,-0.0005,0.001,1.0083,25.06,0.0,0.0
2024-12-14 2:0:55.924,-0.0015,0.0,1.0059,25.0,0.0,0.0
2024-12-14 2:0:55.950,0.001,-0.001,1.0034,25.06,0.0,0.0
2024-12-14 2:0:55.960,0.0,0.0015,1.0083,25.12,0.0,0.0
2024-12-14 2:0:55.970,0.0,0.0,1.0073,25.12,0.0,0.0
2024-12-14 2:0:55.980,-0.0005,0.0,1.0093,25.12,0.0,0.0
2024-12-14 2:0:55.990,0.0005,0.0,1.0029,25.18,0.0,0.0
2024-12-14 2:0:56.0,0.0024,0.0005,1.0054,25.18,0.0,0.0
2024-12-14 2:0:56.10,0.0005,0.0,1.0054,25.06,0.0,0.0
2024-12-14 2:0:56.20,0.0029,-0.0005,1.0078,25.12,0.0,0.0
2024-12-14 2:0:56.5,0.001,-0.0049,1.0073,25.18,0.0,0.0
2024-12-14 2:0:56.15,0.001,-0.001,1.0059,25.18,0.0,0.0
