Chiptime,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Angular_velocity_X (dps),Angular_velocity_Y (dps),Angular_velocity_Z (dps),Temperature (°C),Longitude,Latitude,Record Time
2025-1-26 19:26:29.419,0.0083,-0.0049,-0.1113,0.0,0.0,0.0,30.11,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.429,0.0073,-0.0005,-0.1138,0.0,0.0,0.0,30.29,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.440,0.0078,-0.0044,-0.1123,0.0,0.0,0.0,30.11,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.450,0.0073,-0.0029,-0.1123,0.0,0.0,0.0,30.11,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.460,0.0054,-0.0034,-0.1104,0.0,0.0,0.0,30.04,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.470,0.0088,-0.0029,-0.1113,0.0,0.0,0.0,30.04,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.490,0.0103,-0.0059,-0.1089,0.0,0.0,0.0,30.11,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.500,0.0039,0.0,-0.1138,0.0,0.0,0.0,30.23,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.510,0.0068,0.0,-0.1133,0.0,0.0,0.0,30.17,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.520,0.0068,-0.0005,-0.1162,0.0,0.0,0.0,30.17,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.544,0.0068,0.0,-0.1118,0.0,0.0,0.0,30.04,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.554,0.0073,-0.001,-0.1118,0.0,0.0,0.0,30.23,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.564,0.0078,-0.0039,-0.1099,0.0,0.0,0.0,30.04,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.574,0.0059,-0.0029,-0.1138,0.0,0.0,0.0,30.11,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.584,0.0054,-0.0024,-0.1104,0.0,0.0,0.0,30.23,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.594,0.0063,-0.0024,-0.1133,0.0,0.0,0.0,30.11,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.604,0.0073,-0.0039,-0.1123,0.0,0.0,0.0,30.17,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.589,0.0078,0.0029,-0.1113,0.0,0.0,0.0,30.11,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.599,0.0088,-0.0029,-0.1104,0.0,0.0,0.0,30.23,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.609,0.0054,-0.002,-0.1118,0.0,0.0,0.0,30.23,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.619,0.0059,-0.0063,-0.1113,0.0,0.0,0.0,30.17,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.644,0.0049,0.0034,-0.1152,0.0,0.0,0.0,30.04,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.654,0.0107,-0.0024,-0.1099,0.0,0.0,0.0,30.11,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.664,0.0083,-0.0059,-0.1094,0.0,0.0,0.0,29.98,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.690,0.0034,-0.0005,-0.1133,0.0,0.0,0.0,30.04,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.700,0.0068,-0.0024,-0.1113,0.0,0.0,0.0,30.04,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.710,0.0112,-0.0005,-0.1147,0.0,0.0,0.0,30.29,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.720,0.0088,-0.0049,-0.1133,0.0,0.0,0.0,30.17,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.730,0.0029,-0.0024,-0.1123,0.0,0.0,0.0,29.92,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.740,0.0059,-0.0034,-0.1108,0.0,0.0,0.0,30.17,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.750,0.0107,0.0,-0.1128,0.0,0.0,0.0,30.04,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.760,0.0073,-0.0044,-0.1128,0.0,0.0,0.0,30.42,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.745,0.0049,-0.0024,-0.1108,0.0,0.0,0.0,30.17,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.755,0.0073,-0.0039,-0.1128,0.0,0.0,0.0,30.04,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.765,0.0103,-0.0029,-0.1108,0.0,0.0,0.0,30.04,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.789,0.0068,-0.002,-0.1143,0.0,0.0,0.0,30.23,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.799,0.0073,-0.0039,-0.1123,0.0,0.0,0.0,30.04,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.809,0.0068,-0.0049,-0.1089,0.0,0.0,0.0,30.17,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.819,0.0068,-0.002,-0.1118,0.0,0.0,0.0,30.11,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.839,0.0083,-0.0029,-0.1108,0.0,0.0,0.0,30.23,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.849,0.0078,-0.0029,-0.1128,0.0,0.0,0.0,30.17,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.859,0.0078,-0.0044,-0.1118,0.0,0.0,0.0,30.29,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.869,0.0059,-0.0024,-0.1104,0.0,0.0,0.0,30.04,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.879,0.0068,-0.002,-0.1108,0.0,0.0,0.0,30.04,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.889,0.0098,-0.0024,-0.1069,0.0,0.0,0.0,30.11,0.0,0.0,2025-01-26 19:26:29
2025-1-26 19:26:29.899,0.0059,0.0,-0.1138,0.0,0.0,0.0,29.98,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:29.889,0.0083,-0.0024,-0.1108,0.0,0.0,0.0,30.11,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:29.899,0.0088,-0.001,-0.1099,0.0,0.0,0.0,30.17,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:29.909,0.0059,-0.002,-0.1104,0.0,0.0,0.0,30.04,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:29.919,0.0063,-0.0034,-0.1133,0.0,0.0,0.0,30.11,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:29.940,0.0083,-0.0044,-0.1104,0.0,0.0,0.0,30.29,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:29.950,0.0078,-0.0029,-0.1099,0.0,0.0,0.0,30.23,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:29.960,0.0059,-0.0034,-0.1113,0.0,0.0,0.0,30.29,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:29.970,0.0078,-0.002,-0.1118,0.0,0.0,0.0,30.11,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:29.980,0.0078,-0.0068,-0.1099,0.0,0.0,0.0,30.04,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:29.990,0.0073,-0.002,-0.1113,0.0,0.0,0.0,30.23,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.0,0.0078,-0.0015,-0.1099,0.0,0.0,0.0,30.29,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:29.990,0.0054,-0.0059,-0.1113,0.0,0.0,0.0,30.23,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.0,0.0049,-0.0024,-0.1118,0.0,0.0,0.0,29.98,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.10,0.0073,-0.002,-0.1138,0.0,0.0,0.0,30.17,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.20,0.0073,-0.0029,-0.1099,0.0,0.0,0.0,30.29,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.39,0.0073,-0.0024,-0.1099,0.0,0.0,0.0,30.11,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.49,0.0088,-0.0024,-0.1133,0.0,0.0,0.0,30.17,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.59,0.0083,-0.0044,-0.1113,0.0,0.0,0.0,30.23,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.69,0.0059,-0.0044,-0.1089,0.0,0.0,0.0,30.17,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.79,0.0073,-0.0029,-0.1152,0.0,0.0,0.0,30.17,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.89,0.0059,-0.0049,-0.1133,0.0,0.0,0.0,30.04,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.99,0.0073,-0.0029,-0.1147,0.0,0.0,0.0,30.04,0.0,0.0,2025-01-26 19:26:30
