Time,X,Y,Z
0.006,0.10968,-0.21062,0.20226
0.016,0.12108,-0.23202,0.22215
0.025,0.12201,-0.23408,0.22431
0.034,0.12275,-0.23411,0.22453
0.044,0.1225,-0.23428,0.22455
0.053,0.12193,-0.23464,0.22455
0.062,0.12209,-0.23475,0.22463
0.072,0.12168,-0.23418,0.22473
0.081,0.12185,-0.23446,0.22415
0.09,0.12187,-0.23457,0.22468
0.1,0.12252,-0.23475,0.22456
0.109,0.12172,-0.23468,0.22489
0.118,0.12207,-0.23443,0.22509
0.128,0.12189,-0.23482,0.22486
0.137,0.12209,-0.23444,0.22517
0.147,0.122,-0.23415,0.22444
0.156,0.12221,-0.2342,0.22437
0.165,0.12244,-0.23421,0.22436
0.175,0.12268,-0.23396,0.22436
0.184,0.12249,-0.23435,0.22428
0.193,0.12215,-0.23439,0.22427
0.203,0.1219,-0.23415,0.22461
0.212,0.12198,-0.23395,0.22464
0.221,0.12167,-0.23385,0.2249
0.231,0.12217,-0.23409,0.22442
0.24,0.12266,-0.23437,0.22437
0.25,0.12184,-0.23431,0.22436
0.259,0.12219,-0.23422,0.2242
0.268,0.12201,-0.23413,0.22443
0.278,0.12221,-0.23404,0.22496
0.287,0.12158,-0.23419,0.22468
0.296,0.12249,-0.23438,0.22456
0.306,0.12236,-0.23414,0.2248
0.315,0.12224,-0.2342,0.22491
0.324,0.1218,-0.23429,0.22492
0.334,0.12197,-0.23414,0.22501
0.343,0.12188,-0.23379,0.2246
0.352,0.1223,-0.23392,0.22506
0.362,0.12213,-0.23401,0.22469
0.371,0.122,-0.23402,0.22448
0.38,0.12242,-0.23403,0.22488
0.39,0.12203,-0.23344,0.22467
0.399,0.12275,-0.23363,0.22473
0.409,0.12261,-0.23382,0.22474
0.418,0.12259,-0.23384,0.22482
0.427,0.12259,-0.23409,0.22466
0.437,0.1228,-0.23412,0.22439
0.446,0.12218,-0.23412,0.22453
0.455,0.12266,-0.23454,0.22463
0.465,0.12227,-0.23424,0.22431
0.474,0.12256,-0.2343,0.22436
0.483,0.12259,-0.23422,0.22419
0.493,0.1228,-0.23471,0.22435
0.502,0.12293,-0.23443,0.22394
0.512,0.12284,-0.2339,0.22466
0.521,0.12283,-0.23401,0.22448
0.53,0.1224,-0.23386,0.22437
0.54,0.12246,-0.23443,0.22428
0.549,0.12215,-0.23398,0.22444
0.558,0.12287,-0.23377,0.22454
0.568,0.12262,-0.23383,0.22455
0.577,0.12302,-0.23426,0.22438
0.586,0.12285,-0.23396,0.22428
0.596,0.12326,-0.23444,0.22427
0.605,0.1232,-0.23398,0.22402
0.615,0.1233,-0.23352,0.2245
0.624,0.12234,-0.23364,0.22421
0.633,0.12289,-0.23374,0.22435
0.643,0.1223,-0.23375,0.22453
0.652,0.12245,-0.2335,0.22438
0.661,0.12258,-0.23381,0.22437
0.671,0.12216,-0.23333,0.22428
0.68,0.12211,-0.23312,0.22452
0.689,0.12222,-0.23343,0.2243
0.699,0.12201,-0.23355,0.22427
0.708,0.12188,-0.23356,0.22486
0.718,0.12198,-0.23339,0.22441
0.727,0.12188,-0.23371,0.22437
0.736,0.12241,-0.23358,0.2247
0.746,0.12149,-0.23423,0.2244
0.755,0.12194,-0.23413,0.22428
0.764,0.12145,-0.23429,0.22461
0.774,0.12183,-0.23439,0.22447
0.783,0.12187,-0.2344,0.2248
0.792,0.12165,-0.23415,0.22457
0.802,0.12185,-0.2337,0.22455
0.811,0.12198,-0.23416,0.22438
0.821,0.12242,-0.23437,0.22487
0.83,0.12203,-0.23464,0.22433
0.839,0.12232,-0.23484,0.22478
0.849,0.12202,-0.23519,0.22483
0.858,0.12178,-0.23523,0.22433
0.867,0.12218,-0.23506,0.22444
0.877,0.12233,-0.23446,0.2242
0.886,0.12213,-0.23399,0.22435
0.895,0.12244,-0.23394,0.22478
t,x,y,z
