Time,X,Y,Z,Magnitude,Filtered Magnitude
0.006,0.1266,-0.05558,0.20967,0.251154,0.251154
0.015,0.13927,-0.06097,0.2303,0.275956,0.263555
0.025,0.14032,-0.06101,0.23287,0.27864,0.268583
0.034,0.14021,-0.06093,0.23287,0.278567,0.271079
0.044,0.14041,-0.061,0.23296,0.278759,0.272615
0.053,0.14032,-0.06084,0.23271,0.278469,0.273591
0.062,0.13999,-0.06091,0.23319,0.27872,0.274324
0.072,0.14082,-0.061,0.23282,0.278848,0.274889
0.081,0.14036,-0.06101,0.23329,0.279011,0.275347
0.09,0.14064,-0.06093,0.23291,0.278817,0.275694
0.1,0.14056,-0.06109,0.23262,0.27857,0.278436
0.109,0.14012,-0.06085,0.23302,0.27863,0.278703
0.118,0.14062,-0.06091,0.23331,0.279137,0.278753
0.128,0.14056,-0.06075,0.233,0.278813,0.278777
0.137,0.14088,-0.0609,0.23314,0.279124,0.278814
0.146,0.14015,-0.06125,0.23282,0.278565,0.278824
0.156,0.14062,-0.06154,0.2327,0.278766,0.278828
0.165,0.14056,-0.06157,0.23294,0.278943,0.278838
0.175,0.14077,-0.06174,0.23263,0.278827,0.278819
0.184,0.14047,-0.06133,0.23234,0.278343,0.278772
0.193,0.14022,-0.06113,0.23274,0.278508,0.278766
0.203,0.14052,-0.06127,0.23294,0.278856,0.278788
0.212,0.14012,-0.06095,0.2333,0.278886,0.278763
0.221,0.14029,-0.06117,0.2335,0.279187,0.278801
0.231,0.1401,-0.06111,0.23336,0.278961,0.278784
0.24,0.14018,-0.06119,0.23301,0.278726,0.2788
0.249,0.14041,-0.06136,0.23305,0.278913,0.278815
0.259,0.13968,-0.06113,0.23356,0.278922,0.278813
0.268,0.13928,-0.06102,0.23353,0.278673,0.278798
0.277,0.13967,-0.06118,0.23319,0.278619,0.278825
0.287,0.14003,-0.06145,0.23282,0.278549,0.278829
0.296,0.14039,-0.06114,0.23304,0.278846,0.278828
0.306,0.13978,-0.06094,0.2339,0.279216,0.278861
0.315,0.14015,-0.061,0.23382,0.279347,0.278877
0.324,0.14008,-0.06084,0.23364,0.279126,0.278894
0.334,0.13964,-0.06066,0.23379,0.278992,0.27892
0.343,0.13906,-0.06089,0.23372,0.278694,0.278898
0.352,0.13976,-0.06067,0.23338,0.278711,0.278877
0.362,0.13961,-0.06073,0.23318,0.278482,0.278858
0.371,0.14046,-0.06065,0.23265,0.278448,0.278841
0.38,0.14011,-0.06039,0.23319,0.278667,0.278853
0.39,0.14083,-0.06078,0.23257,0.278597,0.278828
0.399,0.14123,-0.06057,0.23267,0.278837,0.27879
0.408,0.14084,-0.0608,0.23277,0.278773,0.278733
0.418,0.1409,-0.06082,0.23278,0.278816,0.278702
0.427,0.14102,-0.06074,0.23278,0.278859,0.278688
0.437,0.14103,-0.06098,0.23278,0.278917,0.278711
0.446,0.14103,-0.06109,0.23286,0.279008,0.27874
0.455,0.14114,-0.06119,0.23304,0.279235,0.278816
0.465,0.14083,-0.0612,0.23297,0.279022,0.278873
0.474,0.14058,-0.06145,0.23297,0.278951,0.278902
0.483,0.14045,-0.06105,0.2328,0.278656,0.278907
0.493,0.14054,-0.06093,0.23312,0.278942,0.278918
0.502,0.14055,-0.06117,0.2329,0.278816,0.278922
0.511,0.14141,-0.06111,0.23346,0.279705,0.279011
0.521,0.14085,-0.06094,0.23302,0.279017,0.279027
0.53,0.14069,-0.061,0.23306,0.278983,0.279034
0.539,0.14078,-0.06068,0.23306,0.278959,0.279029
0.549,0.14058,-0.06064,0.23306,0.278849,0.27899
0.558,0.14023,-0.06047,0.23272,0.278352,0.278923
0.568,0.14041,-0.06054,0.23277,0.278499,0.278878
0.577,0.14075,-0.0608,0.23278,0.278736,0.278886
0.586,0.14057,-0.06066,0.23286,0.278681,0.27886
0.596,0.14012,-0.06081,0.23312,0.278705,0.278849
0.605,0.1404,-0.06049,0.23281,0.278517,0.27873
0.614,0.14011,-0.06079,0.23312,0.278695,0.278698
0.624,0.14008,-0.06057,0.23281,0.278373,0.278637
0.633,0.14029,-0.06038,0.23312,0.278697,0.278611
0.642,0.13966,-0.06053,0.23323,0.278505,0.278576
0.652,0.13939,-0.06038,0.23299,0.278136,0.278555
0.661,0.13979,-0.06036,0.23263,0.278031,0.278508
0.67,0.1408,-0.06011,0.23327,0.279021,0.278536
0.68,0.14025,-0.05983,0.23317,0.2786,0.278528
0.689,0.14009,-0.06006,0.2329,0.278343,0.278492
0.698,0.1404,-0.06008,0.23237,0.27806,0.278446
0.708,0.14011,-0.06008,0.23316,0.278575,0.278434
0.717,0.14008,-0.06017,0.23324,0.278646,0.278461
0.727,0.13986,-0.06017,0.23299,0.278326,0.278424
0.736,0.14048,-0.06059,0.23322,0.278922,0.278466
0.745,0.13968,-0.06097,0.23316,0.278552,0.278508
0.755,0.14014,-0.06076,0.23332,0.278871,0.278592
0.764,0.1404,-0.06082,0.23317,0.27889,0.278579
0.773,0.14065,-0.06082,0.23316,0.279007,0.278619
0.783,0.14078,-0.06083,0.2329,0.278858,0.278671
0.792,0.14079,-0.06049,0.23304,0.278906,0.278755
0.801,0.14015,-0.06029,0.23289,0.278415,0.278739
0.811,0.1404,-0.06052,0.23271,0.27844,0.278719
0.82,0.14054,-0.06088,0.23294,0.278781,0.278764
0.829,0.14098,-0.06075,0.23313,0.279134,0.278785
0.839,0.14081,-0.06048,0.23315,0.279006,0.278831
0.848,0.14069,-0.06062,0.23315,0.278976,0.278841
0.858,0.1411,-0.06072,0.23315,0.279204,0.278873
0.867,0.1405,-0.06073,0.23324,0.278979,0.27887
0.876,0.14055,-0.06098,0.23316,0.278992,0.278883
