Time,X,Y,Z,Magnitude,Filtered Magnitude,Timestamp,Timestamp
0.006000,-0.376610,0.408460,0.290800,0.627088,0.627088,2025-02-05 03:39:27.045,2025-02-05 03:39:27.045
0.016000,-0.414280,0.449470,0.319710,0.689830,0.658459,2025-02-05 03:39:27.045,2025-02-05 03:39:27.054
0.025000,-0.417930,0.453490,0.322770,0.696060,0.670993,2025-02-05 03:39:27.045,2025-02-05 03:39:27.063
0.034000,-0.418410,0.453730,0.323240,0.696722,0.677425,2025-02-05 03:39:27.073,2025-02-05 03:39:27.073
0.044000,-0.418460,0.453750,0.323040,0.696673,0.681275,2025-02-05 03:39:27.073,2025-02-05 03:39:27.082
0.053000,-0.418890,0.453420,0.323190,0.696786,0.683860,2025-02-05 03:39:27.073,2025-02-05 03:39:27.091
0.062000,-0.418720,0.453380,0.323120,0.696625,0.685683,2025-02-05 03:39:27.101,2025-02-05 03:39:27.101
0.072000,-0.418380,0.453880,0.322940,0.696663,0.687056,2025-02-05 03:39:27.101,2025-02-05 03:39:27.110
0.081000,-0.418340,0.454180,0.322760,0.696751,0.688133,2025-02-05 03:39:27.101,2025-02-05 03:39:27.120
0.091000,-0.417800,0.454130,0.323070,0.696538,0.688974,2025-02-05 03:39:27.130,2025-02-05 03:39:27.130
0.100000,-0.417860,0.454290,0.323020,0.696655,0.695930,2025-02-05 03:39:27.130,2025-02-05 03:39:27.139
0.109000,-0.418080,0.454220,0.323020,0.696741,0.696621,2025-02-05 03:39:27.130,2025-02-05 03:39:27.148
0.119000,-0.418420,0.453970,0.322760,0.696662,0.696682,2025-02-05 03:39:27.157,2025-02-05 03:39:27.157
0.128000,-0.418240,0.454020,0.323160,0.696772,0.696687,2025-02-05 03:39:27.158,2025-02-05 03:39:27.166
0.137000,-0.418870,0.454110,0.322860,0.697070,0.696726,2025-02-05 03:39:27.158,2025-02-05 03:39:27.175
0.147000,-0.418820,0.453870,0.323340,0.697106,0.696758,2025-02-05 03:39:27.185,2025-02-05 03:39:27.185
