Time,X,Y,Z,Magnitude,Filtered Magnitude,Timestamp
0.006000,0.351750,0.429860,0.498990,0.746658,0.746658,2025-02-05 04:22:39.155
0.015000,0.386280,0.472590,0.548890,0.820874,0.783766,2025-02-05 04:22:39.164
0.025000,0.389840,0.476780,0.553970,0.828358,0.798630,2025-02-05 04:22:39.173
0.034000,0.390310,0.477370,0.553890,0.828866,0.806189,2025-02-05 04:22:39.183
0.043000,0.390350,0.477090,0.554470,0.829111,0.810773,2025-02-05 04:22:39.192
0.053000,0.390140,0.476900,0.554690,0.829050,0.813819,2025-02-05 04:22:39.201
0.062000,0.390340,0.476630,0.554460,0.828835,0.815965,2025-02-05 04:22:39.210
0.071000,0.390460,0.476770,0.554780,0.829186,0.817617,2025-02-05 04:22:39.219
0.081000,0.391020,0.476450,0.553970,0.828724,0.818851,2025-02-05 04:22:39.228
0.090000,0.391290,0.476830,0.553890,0.829017,0.819868,2025-02-05 04:22:39.238
0.099000,0.391100,0.476620,0.554050,0.828913,0.828093,2025-02-05 04:22:39.247
0.108000,0.390970,0.476930,0.553640,0.828756,0.828882,2025-02-05 04:22:39.256
0.118000,0.391390,0.476460,0.553690,0.828718,0.828918,2025-02-05 04:22:39.266
0.127000,0.390570,0.476750,0.554360,0.828945,0.828926,2025-02-05 04:22:39.275
0.136000,0.390490,0.477200,0.554260,0.829100,0.828924,2025-02-05 04:22:39.284
0.146000,0.390800,0.476820,0.554250,0.829021,0.828922,2025-02-05 04:22:39.294
0.155000,0.390940,0.476950,0.553750,0.828827,0.828921,2025-02-05 04:22:39.303
0.164000,0.391280,0.477130,0.553950,0.829225,0.828925,2025-02-05 04:22:39.312
0.174000,0.390880,0.476900,0.554140,0.829031,0.828955,2025-02-05 04:22:39.322
0.183000,0.391270,0.477040,0.554240,0.829362,0.828990,2025-02-05 04:22:39.331
0.192000,0.390990,0.477060,0.554420,0.829362,0.829035,2025-02-05 04:22:39.340
0.202000,0.391180,0.477480,0.554520,0.829760,0.829135,2025-02-05 04:22:39.350
0.211000,0.391300,0.477600,0.554780,0.830059,0.829269,2025-02-05 04:22:39.359
0.220000,0.390780,0.477780,0.554300,0.829597,0.829334,2025-02-05 04:22:39.368
0.229000,0.390830,0.477380,0.554170,0.829303,0.829355,2025-02-05 04:22:39.378
0.239000,0.391050,0.477090,0.554750,0.829628,0.829415,2025-02-05 04:22:39.387
0.248000,0.390970,0.477980,0.554890,0.830196,0.829552,2025-02-05 04:22:39.396
0.257000,0.390850,0.477320,0.554400,0.829432,0.829573,2025-02-05 04:22:39.406
0.267000,0.391590,0.477250,0.554270,0.829654,0.829635,2025-02-05 04:22:39.415
0.276000,0.390910,0.477580,0.554340,0.829570,0.829656,2025-02-05 04:22:39.424
0.285000,0.390950,0.477700,0.554260,0.829604,0.829680,2025-02-05 04:22:39.434
0.295000,0.391280,0.477790,0.554250,0.829805,0.829685,2025-02-05 04:22:39.443
0.304000,0.391100,0.478140,0.553750,0.829588,0.829638,2025-02-05 04:22:39.452
0.313000,0.390760,0.478090,0.554200,0.829699,0.829648,2025-02-05 04:22:39.461
0.322000,0.391260,0.477660,0.553990,0.829547,0.829672,2025-02-05 04:22:39.470
0.332000,0.390880,0.477790,0.554230,0.829603,0.829670,2025-02-05 04:22:39.479
0.341000,0.391160,0.477550,0.554250,0.829610,0.829611,2025-02-05 04:22:39.489
0.350000,0.391190,0.477610,0.553910,0.829432,0.829611,2025-02-05 04:22:39.498
0.360000,0.390870,0.477450,0.553970,0.829229,0.829569,2025-02-05 04:22:39.507
0.369000,0.390730,0.477600,0.554050,0.829303,0.829542,2025-02-05 04:22:39.517
0.378000,0.391040,0.477200,0.554230,0.829339,0.829516,2025-02-05 04:22:39.526
0.388000,0.391400,0.477070,0.554250,0.829447,0.829480,2025-02-05 04:22:39.535
0.397000,0.391110,0.477060,0.554250,0.829305,0.829451,2025-02-05 04:22:39.545
0.406000,0.391080,0.477310,0.554250,0.829434,0.829425,2025-02-05 04:22:39.554
0.415000,0.391080,0.477170,0.554000,0.829187,0.829389,2025-02-05 04:22:39.563
0.425000,0.391080,0.477240,0.553970,0.829207,0.829349,2025-02-05 04:22:39.573
0.434000,0.391290,0.477500,0.554060,0.829516,0.829340,2025-02-05 04:22:39.582
0.443000,0.390880,0.477600,0.553560,0.829046,0.829301,2025-02-05 04:22:39.591
0.453000,0.390300,0.477370,0.553850,0.828834,0.829262,2025-02-05 04:22:39.601
0.462000,0.391540,0.477170,0.554040,0.829431,0.829275,2025-02-05 04:22:39.610
0.471000,0.391340,0.476900,0.553890,0.829081,0.829249,2025-02-05 04:22:39.619
0.481000,0.391320,0.476710,0.554130,0.829122,0.829216,2025-02-05 04:22:39.629
0.490000,0.391210,0.476610,0.554070,0.828973,0.829183,2025-02-05 04:22:39.638
0.499000,0.391310,0.476760,0.553810,0.828933,0.829133,2025-02-05 04:22:39.647
