Base_Time,Time,X,Y,Z,Magnitude,Filtered Magnitude,Timestamp
2025-02-05 04:36:06.885,0.006000,0.378050,0.406040,0.314360,0.637662,0.637662,2025-02-05 04:36:06.885
2025-02-05 04:36:06.894,0.015000,0.414780,0.447310,0.346130,0.701381,0.669521,2025-02-05 04:36:06.894
2025-02-05 04:36:06.904,0.025000,0.419100,0.450850,0.348970,0.707595,0.682212,2025-02-05 04:36:06.903
2025-02-05 04:36:06.913,0.034000,0.419100,0.451120,0.349680,0.708117,0.688689,2025-02-05 04:36:06.913
2025-02-05 04:36:06.922,0.043000,0.419530,0.451060,0.349580,0.708284,0.692608,2025-02-05 04:36:06.922
2025-02-05 04:36:06.931,0.052000,0.419570,0.451230,0.349910,0.708579,0.695270,2025-02-05 04:36:06.931
2025-02-05 04:36:06.941,0.062000,0.420440,0.450990,0.350030,0.709001,0.697231,2025-02-05 04:36:06.940
2025-02-05 04:36:06.949,0.071000,0.419990,0.450720,0.350120,0.708607,0.698653,2025-02-05 04:36:06.949
2025-02-05 04:36:06.959,0.080000,0.420050,0.451190,0.349960,0.708863,0.699788,2025-02-05 04:36:06.958
2025-02-05 04:36:06.968,0.090000,0.419190,0.450900,0.350120,0.708248,0.700634,2025-02-05 04:36:06.968
2025-02-05 04:36:06.978,0.099000,0.419320,0.451130,0.350380,0.708600,0.707728,2025-02-05 04:36:06.977
2025-02-05 04:36:06.987,0.108000,0.419120,0.451070,0.349990,0.708250,0.708415,2025-02-05 04:36:06.986
2025-02-05 04:36:06.996,0.117000,0.419530,0.451310,0.350120,0.708710,0.708526,2025-02-05 04:36:06.996
2025-02-05 04:36:07.006,0.127000,0.419790,0.451420,0.350210,0.708979,0.708612,2025-02-05 04:36:07.005
2025-02-05 04:36:07.015,0.136000,0.420140,0.451430,0.349800,0.708990,0.708683,2025-02-05 04:36:07.014
2025-02-05 04:36:07.023,0.145000,0.420060,0.451430,0.350020,0.709051,0.708730,2025-02-05 04:36:07.023
2025-02-05 04:36:07.033,0.154000,0.419410,0.451260,0.350540,0.708815,0.708711,2025-02-05 04:36:07.032
2025-02-05 04:36:07.043,0.164000,0.419130,0.451000,0.350090,0.708261,0.708677,2025-02-05 04:36:07.041
2025-02-05 04:36:07.051,0.173000,0.418890,0.451140,0.349710,0.708021,0.708592,2025-02-05 04:36:07.051
2025-02-05 04:36:07.061,0.182000,0.419080,0.450820,0.349500,0.707826,0.708550,2025-02-05 04:36:07.060
2025-02-05 04:36:07.071,0.192000,0.419100,0.450870,0.349650,0.707943,0.708485,2025-02-05 04:36:07.069
2025-02-05 04:36:07.080,0.201000,0.419210,0.451210,0.349660,0.708230,0.708483,2025-02-05 04:36:07.079
2025-02-05 04:36:07.089,0.210000,0.419860,0.451160,0.349660,0.708583,0.708470,2025-02-05 04:36:07.088
2025-02-05 04:36:07.098,0.219000,0.419820,0.451150,0.349660,0.708553,0.708427,2025-02-05 04:36:07.097
2025-02-05 04:36:07.108,0.229000,0.419280,0.451070,0.350170,0.708434,0.708372,2025-02-05 04:36:07.106
2025-02-05 04:36:07.116,0.238000,0.419760,0.451230,0.349880,0.708677,0.708334,2025-02-05 04:36:07.115
2025-02-05 04:36:07.126,0.247000,0.419920,0.451160,0.350190,0.708880,0.708341,2025-02-05 04:36:07.124
2025-02-05 04:36:07.135,0.256000,0.419930,0.451320,0.349970,0.708879,0.708403,2025-02-05 04:36:07.134
2025-02-05 04:36:07.145,0.266000,0.419610,0.451000,0.350030,0.708516,0.708452,2025-02-05 04:36:07.143
2025-02-05 04:36:07.154,0.275000,0.419260,0.450890,0.350210,0.708327,0.708502,2025-02-05 04:36:07.152
2025-02-05 04:36:07.162,0.284000,0.419440,0.451380,0.350060,0.708672,0.708575,2025-02-05 04:36:07.162
2025-02-05 04:36:07.172,0.293000,0.419990,0.451340,0.350380,0.709130,0.708665,2025-02-05 04:36:07.171
2025-02-05 04:36:07.182,0.303000,0.419830,0.452090,0.350160,0.709404,0.708747,2025-02-05 04:36:07.180
2025-02-05 04:36:07.191,0.312000,0.419390,0.451750,0.349970,0.708834,0.708775,2025-02-05 04:36:07.190
2025-02-05 04:36:07.200,0.321000,0.419880,0.451550,0.350030,0.709026,0.708835,2025-02-05 04:36:07.199
2025-02-05 04:36:07.210,0.331000,0.419390,0.451610,0.350210,0.708863,0.708853,2025-02-05 04:36:07.208
2025-02-05 04:36:07.219,0.340000,0.419670,0.451870,0.350220,0.709199,0.708885,2025-02-05 04:36:07.218
2025-02-05 04:36:07.228,0.349000,0.419160,0.451890,0.349890,0.708747,0.708872,2025-02-05 04:36:07.227
2025-02-05 04:36:07.237,0.358000,0.419430,0.451890,0.349600,0.708764,0.708897,2025-02-05 04:36:07.236
2025-02-05 04:36:07.247,0.368000,0.420100,0.452400,0.349740,0.709555,0.709019,2025-02-05 04:36:07.246
2025-02-05 04:36:07.256,0.377000,0.420170,0.451940,0.350010,0.709436,0.709096,2025-02-05 04:36:07.255
