Time,X,Y,Z,Magnitude,Filtered Magnitude
0.006000,0.356600,0.427180,0.501860,0.749340,0.749340
0.015000,0.392370,0.469900,0.551370,0.823874,0.786607
0.025000,0.395950,0.474170,0.556740,0.831609,0.801608
0.034000,0.396520,0.474680,0.557110,0.832419,0.809310
0.043000,0.397010,0.474730,0.556980,0.832594,0.813967
0.053000,0.396520,0.474900,0.557050,0.832504,0.817056
0.062000,0.396900,0.475260,0.556550,0.832556,0.819271
0.071000,0.396720,0.474960,0.557340,0.832827,0.820965
0.081000,0.396710,0.474840,0.557760,0.833035,0.822306
0.090000,0.396490,0.474920,0.557630,0.832889,0.823365
0.099000,0.396680,0.474840,0.557280,0.832700,0.831701
0.108000,0.396270,0.475250,0.557420,0.832832,0.832597
0.118000,0.395370,0.474960,0.557600,0.832359,0.832672
0.127000,0.396030,0.475350,0.557700,0.832963,0.832726
0.136000,0.396530,0.475380,0.557960,0.833392,0.832806
0.146000,0.396690,0.475220,0.557990,0.833397,0.832895
0.155000,0.396270,0.475290,0.557820,0.833123,0.832952
0.164000,0.396660,0.475040,0.557220,0.832764,0.832945
0.174000,0.396810,0.475690,0.556740,0.832886,0.832930
0.183000,0.396070,0.475250,0.557020,0.832469,0.832888
0.192000,0.395780,0.475040,0.557310,0.832406,0.832859
0.202000,0.395970,0.475520,0.557330,0.832783,0.832854
0.211000,0.396200,0.475320,0.557420,0.832839,0.832902
0.220000,0.396220,0.474880,0.557430,0.832604,0.832866
0.229000,0.396230,0.474920,0.557260,0.832518,0.832779
0.239000,0.395900,0.475010,0.557670,0.832687,0.832708
0.248000,0.396190,0.475350,0.557540,0.832932,0.832689
0.257000,0.396440,0.475130,0.557950,0.833199,0.832732
0.267000,0.396460,0.475360,0.557820,0.833253,0.832769
0.276000,0.395710,0.475140,0.557470,0.832537,0.832776
0.285000,0.396280,0.475030,0.557430,0.832718,0.832807
0.295000,0.396340,0.474770,0.557520,0.832659,0.832795
0.304000,0.396240,0.474660,0.557860,0.832776,0.832788
0.313000,0.396440,0.474980,0.557560,0.832853,0.832813
0.323000,0.396570,0.474930,0.557780,0.833033,0.832865
0.332000,0.396480,0.475180,0.557630,0.833033,0.832899
0.341000,0.396250,0.475280,0.557700,0.833027,0.832909
0.350000,0.396230,0.475040,0.557790,0.832941,0.832883
0.360000,0.396010,0.474940,0.557970,0.832900,0.832848
0.369000,0.395990,0.475010,0.557820,0.832830,0.832877
0.378000,0.396090,0.474510,0.557470,0.832358,0.832841
0.388000,0.396320,0.474470,0.558020,0.832813,0.832856
0.397000,0.396130,0.474630,0.557660,0.832573,0.832836
0.406000,0.395890,0.474890,0.557280,0.832352,0.832786
0.416000,0.396410,0.475000,0.557500,0.832810,0.832764
0.425000,0.396140,0.475020,0.557350,0.832592,0.832720
0.434000,0.395680,0.474930,0.557090,0.832148,0.832632
0.443000,0.396600,0.475260,0.557400,0.832982,0.832636
0.453000,0.396370,0.475540,0.557680,0.833219,0.832668
0.462000,0.396560,0.475320,0.557200,0.832863,0.832671
0.471000,0.396800,0.475720,0.557320,0.833286,0.832764
0.481000,0.395960,0.475170,0.557590,0.832753,0.832758
0.490000,0.396310,0.475200,0.557280,0.832729,0.832773
0.499000,0.396770,0.475370,0.557420,0.833139,0.832852
0.509000,0.396280,0.475050,0.557510,0.832783,0.832849
0.518000,0.396340,0.474690,0.557690,0.832727,0.832863
0.527000,0.396240,0.474650,0.557290,0.832389,0.832887
0.537000,0.396010,0.474980,0.557580,0.832662,0.832855
0.546000,0.396100,0.474600,0.557450,0.832401,0.832773
0.555000,0.396210,0.474720,0.557520,0.832568,0.832744
0.564000,0.396330,0.475070,0.557520,0.832825,0.832698
0.574000,0.395910,0.475190,0.557610,0.832754,0.832698
0.583000,0.395870,0.475370,0.557620,0.832844,0.832709
0.592000,0.395970,0.475220,0.557450,0.832692,0.832665
0.602000,0.396520,0.475370,0.557260,0.832913,0.832677
0.611000,0.395720,0.475300,0.557410,0.832593,0.832664
0.620000,0.396180,0.474540,0.557930,0.832726,0.832698
0.630000,0.395570,0.474720,0.557730,0.832405,0.832672
0.639000,0.395620,0.474570,0.557630,0.832276,0.832660
0.648000,0.396270,0.475060,0.557450,0.832744,0.832677
0.658000,0.396340,0.475190,0.557770,0.833066,0.832701
0.667000,0.396880,0.474870,0.557630,0.833046,0.832730
0.676000,0.396620,0.475090,0.557700,0.833095,0.832756
0.685000,0.396800,0.474940,0.557290,0.832821,0.832768
0.695000,0.396180,0.475180,0.557000,0.832468,0.832724
0.704000,0.396440,0.475200,0.557470,0.832918,0.832756
0.713000,0.396140,0.475450,0.557270,0.832784,0.832762
0.723000,0.396430,0.475060,0.557250,0.832686,0.832790
0.732000,0.396350,0.475100,0.557160,0.832611,0.832824
0.741000,0.396020,0.475030,0.557150,0.832407,0.832790
0.751000,0.396100,0.475180,0.557400,0.832698,0.832753
0.760000,0.396320,0.474950,0.557930,0.833026,0.832751
0.769000,0.396020,0.475180,0.557310,0.832600,0.832702
0.778000,0.395880,0.474870,0.557420,0.832430,0.832663
0.788000,0.396410,0.474750,0.558100,0.833069,0.832723
0.797000,0.395810,0.475410,0.557920,0.833040,0.832735
0.806000,0.395860,0.474810,0.557980,0.832761,0.832733
0.816000,0.396300,0.474740,0.557650,0.832710,0.832735
0.825000,0.396230,0.474740,0.557450,0.832542,0.832728
0.834000,0.396330,0.474650,0.557600,0.832639,0.832752
0.844000,0.396130,0.474650,0.557700,0.832611,0.832743
0.853000,0.395790,0.474810,0.557630,0.832494,0.832690
0.862000,0.396070,0.474660,0.558040,0.832816,0.832711
0.872000,0.395890,0.474560,0.558000,0.832646,0.832733
