Time,X,Y,Z,Magnitude,Filtered Magnitude,Timestamp
0.006000,0.438940,0.396510,0.323620,0.674254,0.674254,2025-02-05 05:00:30.905
0.015000,0.483270,0.436160,0.355980,0.741962,0.708108,2025-02-05 05:00:30.906
0.025000,0.487590,0.439960,0.358540,0.748238,0.721484,2025-02-05 05:00:30.906
0.034000,0.487700,0.440670,0.359140,0.749015,0.728367,2025-02-05 05:00:30.932
0.043000,0.488250,0.440740,0.359950,0.749803,0.732654,2025-02-05 05:00:30.933
0.053000,0.487880,0.440830,0.359110,0.749212,0.735414,2025-02-05 05:00:30.933
0.062000,0.487520,0.440680,0.359190,0.748927,0.737344,2025-02-05 05:00:30.960
0.071000,0.488020,0.440910,0.359450,0.749513,0.738865,2025-02-05 05:00:30.961
0.080000,0.487310,0.440770,0.359060,0.748781,0.739967,2025-02-05 05:00:30.961
0.090000,0.487780,0.440500,0.358850,0.748828,0.740853,2025-02-05 05:00:30.988
0.099000,0.487830,0.440980,0.359170,0.749296,0.748357,2025-02-05 05:00:30.989
0.108000,0.487400,0.440770,0.359110,0.748864,0.749048,2025-02-05 05:00:30.989
0.118000,0.488220,0.441250,0.359190,0.749718,0.749196,2025-02-05 05:00:31.016
0.127000,0.487870,0.440970,0.358780,0.749129,0.749207,2025-02-05 05:00:31.017
0.136000,0.487730,0.440690,0.359330,0.749137,0.749141,2025-02-05 05:00:31.017
0.145000,0.487390,0.440580,0.359210,0.748793,0.749099,2025-02-05 05:00:31.044
0.155000,0.487470,0.440730,0.358700,0.748689,0.749075,2025-02-05 05:00:31.045
0.164000,0.487470,0.440580,0.359150,0.748817,0.749005,2025-02-05 05:00:31.045
0.173000,0.487690,0.440730,0.359450,0.749192,0.749046,2025-02-05 05:00:31.072
0.183000,0.488040,0.440670,0.358720,0.749035,0.749067,2025-02-05 05:00:31.073
0.192000,0.487640,0.440660,0.358900,0.748855,0.749023,2025-02-05 05:00:31.073
0.201000,0.488140,0.440990,0.359170,0.749504,0.749087,2025-02-05 05:00:31.100
0.210000,0.487330,0.441110,0.358860,0.748899,0.749005,2025-02-05 05:00:31.101
0.220000,0.487460,0.441120,0.359340,0.749219,0.749014,2025-02-05 05:00:31.101
0.229000,0.487260,0.441210,0.359220,0.749084,0.749009,2025-02-05 05:00:31.128
0.238000,0.487130,0.440880,0.359200,0.748796,0.749009,2025-02-05 05:00:31.128
0.247000,0.487550,0.441010,0.359370,0.749227,0.749063,2025-02-05 05:00:31.129
0.257000,0.487810,0.441030,0.359220,0.749336,0.749115,2025-02-05 05:00:31.155
0.266000,0.487720,0.440950,0.359040,0.749144,0.749110,2025-02-05 05:00:31.155
0.275000,0.488040,0.440850,0.359190,0.749366,0.749143,2025-02-05 05:00:31.156
