Chiptime,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Temperature (°C),Longitude,Latitude
2076-28-187 8:1:17.214,0.1812,0.0278,0.6914,23.1,0.0,0.0
2076-28-187 8:1:17.224,0.1924,-0.0054,0.7129,22.91,0.0,0.0
2076-28-187 8:1:17.214,0.1382,-0.0225,0.6665,22.85,0.0,0.0
2076-28-187 8:1:17.224,0.0342,0.0659,0.4775,22.98,0.0,0.0
2076-28-187 8:1:17.234,0.0039,0.0869,0.6836,23.1,0.0,0.0
2076-28-187 8:1:17.244,0.04,-0.1768,0.9258,23.29,0.0,0.0
2076-28-187 8:1:17.265,-0.0342,-0.0947,0.6943,23.1,0.0,0.0
2076-28-187 8:1:17.275,-0.0649,-0.0361,0.6152,22.98,0.0,0.0
2076-28-187 8:1:17.285,0.1284,-0.0283,0.6562,23.17,0.0,0.0
2076-28-187 8:1:17.310,-0.0391,0.0552,0.5488,23.1,0.0,0.0
2076-28-187 8:1:17.320,-0.1133,-0.0952,0.4961,22.98,0.0,0.0
2076-28-187 8:1:17.330,-0.3823,-0.3218,0.4014,22.91,0.0,0.0
2076-28-187 8:1:17.340,-0.1533,0.1001,0.8081,22.91,0.0,0.0
2076-28-187 8:1:17.350,0.1592,0.0264,0.6636,23.17,0.0,0.0
2076-28-187 8:1:17.360,0.0552,0.0684,0.7197,22.98,0.0,0.0
2076-28-187 8:1:17.370,0.0513,-0.2446,0.6074,23.17,0.0,0.0
2076-28-187 8:1:17.380,0.0117,-0.1895,0.5142,22.98,0.0,0.0
2076-28-187 8:1:17.364,0.0879,-0.0728,0.5728,22.98,0.0,0.0
2076-28-187 8:1:17.374,0.0659,-0.1187,0.4658,23.1,0.0,0.0
2076-28-187 8:1:17.384,0.1377,-0.1104,0.6016,23.23,0.0,0.0
2076-28-187 8:1:17.409,0.165,-0.0273,0.4033,23.23,0.0,0.0
2076-28-187 8:1:17.419,0.0312,0.1074,0.5835,22.98,0.0,0.0
2076-28-187 8:1:17.429,0.042,-0.0146,0.3398,22.98,0.0,0.0
2076-28-187 8:1:17.439,-0.0132,0.0332,0.3672,22.98,0.0,0.0
2076-28-187 8:1:17.464,0.1113,0.1509,0.5249,23.17,0.0,0.0
2076-28-187 8:1:17.474,0.1392,0.0552,0.5757,23.23,0.0,0.0
2076-28-187 8:1:17.484,0.0859,0.02,0.5098,22.98,0.0,0.0
2076-28-187 8:1:17.494,0.1343,-0.0024,0.4771,23.23,0.0,0.0
2076-28-187 8:1:17.504,0.0864,-0.0132,0.478,23.23,0.0,0.0
2076-28-187 8:1:17.514,-0.04,0.022,0.5112,23.23,0.0,0.0
2076-28-187 8:1:17.524,-0.1851,0.0435,0.5337,23.23,0.0,0.0
2076-28-187 8:1:17.510,-0.0435,0.1343,0.605,22.98,0.0,0.0
2076-28-187 8:1:17.520,-0.0049,0.166,0.8345,23.1,0.0,0.0
2076-28-187 8:1:17.530,-0.0156,-0.0557,0.646,22.91,0.0,0.0
2076-28-187 8:1:17.540,0.0303,-0.0396,0.647,22.91,0.0,0.0
2076-28-187 8:1:17.560,0.1982,0.0112,0.4565,23.23,0.0,0.0
2076-28-187 8:1:17.570,0.2622,0.0376,0.0674,22.98,0.0,0.0
2076-28-187 8:1:17.580,0.1562,-0.042,0.1089,23.17,0.0,0.0
2076-28-187 8:1:17.590,0.3071,0.1943,0.3657,22.98,0.0,0.0
2076-28-187 8:1:17.614,0.1479,0.0898,0.3438,22.79,0.0,0.0
2076-28-187 8:1:17.624,0.0952,0.0605,0.2944,22.98,0.0,0.0
2076-28-187 8:1:17.634,0.0786,-0.0122,0.2573,23.17,0.0,0.0
2076-28-187 8:1:17.644,0.0991,-0.0928,0.2671,23.1,0.0,0.0
2076-28-187 8:1:17.654,0.2432,-0.124,0.3364,23.17,0.0,0.0
2076-28-187 8:1:17.664,0.2725,-0.1201,0.3628,23.17,0.0,0.0
2076-28-187 8:1:17.674,0.2217,-0.0435,0.3516,22.98,0.0,0.0
2076-28-187 8:1:17.664,0.3813,-0.0796,0.4033,22.98,0.0,0.0
2076-28-187 8:1:17.674,0.2656,-0.0913,0.2832,23.1,0.0,0.0
2076-28-187 8:1:17.684,0.2852,-0.0283,0.2773,22.85,0.0,0.0
2076-28-187 8:1:17.694,0.3188,0.0127,0.2695,23.17,0.0,0.0
2076-28-187 8:1:17.714,0.2485,-0.0488,0.2715,22.91,0.0,0.0
2076-28-187 8:1:17.724,0.207,-0.0972,0.3418,22.98,0.0,0.0
2076-28-187 8:1:17.734,0.249,-0.0977,0.5488,22.98,0.0,0.0
2076-28-187 8:1:17.744,0.2373,-0.1499,0.5005,23.23,0.0,0.0
2076-28-187 8:1:17.754,0.1387,-0.1602,0.2925,23.1,0.0,0.0
2076-28-187 8:1:17.764,0.1523,-0.1436,0.417,22.98,0.0,0.0
2076-28-187 8:1:17.774,0.1641,-0.1094,0.3042,23.17,0.0,0.0
