Time,X,Y,Z
0.006,0.11011,-0.21121,0.20285
0.015,0.12113,-0.23191,0.22305
0.025,0.12234,-0.23356,0.22491
0.034,0.12224,-0.23398,0.22576
0.044,0.12212,-0.2336,0.22568
0.053,0.12243,-0.23398,0.22525
0.062,0.12236,-0.23369,0.22563
0.072,0.12246,-0.23341,0.22525
0.081,0.1229,-0.23346,0.22538
0.09,0.12262,-0.23372,0.22522
0.1,0.12227,-0.23399,0.22546
0.109,0.12277,-0.23394,0.22489
0.118,0.12282,-0.23343,0.22534
0.128,0.12294,-0.23338,0.22497
0.137,0.12252,-0.23371,0.22527
0.147,0.12291,-0.23399,0.22546
0.156,0.12251,-0.23411,0.22515
0.165,0.12215,-0.23395,0.22512
0.175,0.12319,-0.23427,0.22562
0.184,0.12243,-0.23397,0.2255
0.193,0.12268,-0.2336,0.22574
0.203,0.12271,-0.23365,0.22576
0.212,0.12282,-0.23365,0.22568
0.221,0.1224,-0.23357,0.22584
0.231,0.12225,-0.23381,0.22569
0.24,0.12223,-0.23392,0.22551
0.25,0.12255,-0.23368,0.2254
0.259,0.12226,-0.23391,0.22522
0.268,0.12277,-0.2341,0.22521
0.278,0.12272,-0.23437,0.22563
0.287,0.12228,-0.23431,0.22533
0.296,0.12191,-0.23414,0.22547
0.306,0.12177,-0.23445,0.22515
0.315,0.12186,-0.23424,0.22495
0.324,0.1223,-0.2343,0.22501
0.334,0.12267,-0.23405,0.22476
0.343,0.12249,-0.23428,0.22508
0.353,0.12269,-0.23455,0.22528
0.362,0.12228,-0.23416,0.22521
0.371,0.12223,-0.23354,0.22537
0.381,0.12234,-0.23389,0.22514
0.39,0.12267,-0.23426,0.22495
0.399,0.1226,-0.23405,0.2251
0.409,0.12259,-0.23428,0.22511
0.418,0.12259,-0.23413,0.22494
0.427,0.1227,-0.23412,0.22526
0.437,0.12249,-0.23387,0.22496
0.446,0.12258,-0.23351,0.22518
0.456,0.12183,-0.23356,0.22512
0.465,0.12122,-0.23348,0.22511
0.474,0.12213,-0.23339,0.2252
0.484,0.12222,-0.23346,0.22462
0.493,0.12223,-0.23355,0.22498
0.502,0.12277,-0.23364,0.22518
0.512,0.12271,-0.23357,0.22503
0.521,0.12293,-0.23456,0.22544
0.53,0.12284,-0.234,0.22489
0.54,0.1224,-0.23352,0.22509
0.549,0.12257,-0.23397,0.22511
0.558,0.12173,-0.2341,0.22528
0.568,0.12283,-0.2337,0.22521
0.577,0.12304,-0.23374,0.22504
0.587,0.12307,-0.23358,0.2251
0.596,0.12264,-0.23381,0.22461
0.605,0.12249,-0.234,0.22464
0.615,0.12258,-0.23377,0.22456
0.624,0.12259,-0.234,0.22489
0.633,0.12248,-0.23386,0.22492
0.643,0.12279,-0.23409,0.22509
