Time,X,Y,Z,Magnitude,Filtered Magnitude
0.006,0.28041,0.05776,0.25747,0.385041,0.385041
0.015,0.30597,0.06613,0.2844,0.422935,0.403988
0.025,0.30669,0.06855,0.28886,0.426847,0.411608
0.034,0.30331,0.07097,0.29107,0.426328,0.415288
0.043,0.2991,0.07238,0.29398,0.425587,0.417347
0.052,0.29307,0.07436,0.29672,0.42363,0.418395
0.062,0.28729,0.07639,0.3001,0.422411,0.418968
0.071,0.28079,0.07977,0.30339,0.421013,0.419224
0.08,0.27335,0.08262,0.30616,0.418665,0.419162
0.09,0.26581,0.08641,0.30879,0.416501,0.418896
0.099,0.25827,0.08972,0.31133,0.414342,0.421826
0.108,0.25062,0.09264,0.31326,0.411733,0.420706
0.117,0.24263,0.09544,0.31497,0.408882,0.418909
0.127,0.23537,0.09739,0.31657,0.406326,0.416909
0.136,0.22882,0.09775,0.31825,0.403976,0.414748
0.145,0.22332,0.09704,0.31926,0.401517,0.412536
0.154,0.21695,0.0978,0.32062,0.399286,0.410224
0.164,0.21167,0.09863,0.32092,0.39689,0.407812
0.173,0.20446,0.09913,0.32062,0.392973,0.405243
0.182,0.19792,0.09784,0.32033,0.389045,0.402497
0.191,0.19048,0.09421,0.3209,0.384883,0.399551
0.201,0.18187,0.08766,0.32188,0.379958,0.396373
0.21,0.17454,0.07772,0.32332,0.375554,0.393041
0.219,0.16648,0.06428,0.32549,0.371202,0.389528
0.228,0.16093,0.04797,0.32823,0.368693,0.386
0.238,0.15617,0.03105,0.33061,0.366955,0.382544
0.247,0.15138,0.01297,0.33244,0.365514,0.379167
0.256,0.14595,-0.00614,0.33296,0.363595,0.375837
0.265,0.14174,-0.03179,0.33251,0.362855,0.372825
0.275,0.13496,-0.05976,0.33019,0.361678,0.370089
0.284,0.12803,-0.08738,0.32735,0.362195,0.36782
0.294,0.11818,-0.1138,0.32286,0.362154,0.366039
0.303,0.10781,-0.13608,0.31803,0.362331,0.364717
0.312,0.09277,-0.15469,0.31343,0.361626,0.36376
0.322,0.07283,-0.17093,0.30817,0.359847,0.362875
