Time,X,Y,Z
0.006,0.32147,0.1059,-0.23806
0.015,0.35329,0.11683,-0.26169
0.025,0.35669,0.11834,-0.26456
0.034,0.35627,0.11916,-0.26435
0.044,0.35634,0.12007,-0.26458
0.053,0.35635,0.12109,-0.26418
0.062,0.35797,0.12244,-0.2633
0.072,0.35877,0.12425,-0.26136
0.081,0.36004,0.12668,-0.25889
0.09,0.36157,0.1291,-0.25612
0.109,0.36447,0.13368,-0.2497
0.119,0.36665,0.13607,-0.24603
0.128,0.36805,0.13831,-0.24204
0.137,0.3697,0.14138,-0.23727
0.147,0.37202,0.14495,-0.23182
0.156,0.37397,0.14781,-0.2269
0.165,0.37536,0.1496,-0.2222
0.175,0.37754,0.1502,-0.21786
0.184,0.37884,0.15093,-0.21406
0.193,0.37972,0.15234,-0.20989
0.203,0.38067,0.15565,-0.20603
0.212,0.38098,0.15933,-0.20093
0.222,0.38252,0.16304,-0.19512
0.231,0.38365,0.16475,-0.19075
0.24,0.38516,0.16367,-0.18745
0.25,0.38574,0.16072,-0.18611
0.259,0.3872,0.15607,-0.18564
0.268,0.3881,0.15001,-0.18626
0.278,0.38905,0.14171,-0.18725
0.287,0.39055,0.13253,-0.18861
0.296,0.39189,0.12124,-0.19069
0.306,0.39321,0.11025,-0.19291
0.315,0.39301,0.09862,-0.19566
0.325,0.39256,0.08776,-0.19796
0.334,0.39317,0.07857,-0.19978
0.343,0.39269,0.06913,-0.20148
0.353,0.39156,0.05982,-0.20308
0.362,0.39059,0.04978,-0.20509
0.371,0.38909,0.03984,-0.20622
0.381,0.38667,0.02973,-0.20886
0.39,0.38374,0.01919,-0.21022
0.399,0.37957,0.0097,-0.21212
0.409,0.37538,-0.0012,-0.21534
0.418,0.37065,-0.0155,-0.21936
0.428,0.36468,-0.0318,-0.22313
0.437,0.35858,-0.04948,-0.22738
0.447,0.35226,-0.06646,-0.23185
0.456,0.34495,-0.08103,-0.23667
0.465,0.33807,-0.09486,-0.24178
0.475,0.32941,-0.10535,-0.2481
0.484,0.32121,-0.11325,-0.25521
0.494,0.31199,-0.11923,-0.2629
0.503,0.30266,-0.1235,-0.27074
0.513,0.293,-0.12635,-0.27961
0.522,0.28351,-0.12823,-0.28697
0.532,0.2747,-0.12975,-0.29411
0.541,0.26638,-0.13082,-0.30054
0.551,0.25919,-0.1316,-0.30573
0.56,0.25297,-0.13335,-0.31029
0.57,0.24653,-0.13436,-0.31428
0.579,0.24071,-0.13647,-0.31695
0.589,0.23496,-0.13918,-0.31932
0.598,0.22835,-0.14263,-0.32166
0.608,0.22004,-0.14599,-0.32408
0.617,0.21069,-0.14991,-0.3255
0.626,0.20081,-0.15382,-0.32632
0.636,0.19012,-0.15864,-0.32724
0.645,0.17989,-0.16388,-0.32801
0.655,0.17003,-0.16767,-0.32842
0.664,0.15977,-0.17089,-0.3288
0.674,0.15142,-0.17246,-0.32884
0.683,0.14401,-0.17362,-0.32935
