Time,X,Y,Z
0.006,0.11001,-0.21046,0.20243
0.015,0.12079,-0.23117,0.22251
0.025,0.12209,-0.23357,0.22401
0.034,0.12211,-0.23365,0.22416
0.044,0.12157,-0.23357,0.22417
0.053,0.12216,-0.23356,0.22426
0.062,0.1219,-0.2339,0.2241
0.072,0.12198,-0.23343,0.224
0.081,0.12167,-0.23346,0.22416
0.09,0.12196,-0.23338,0.22417
0.1,0.12188,-0.23329,0.22451
0.109,0.12187,-0.2337,0.22446
0.118,0.12198,-0.23374,0.22421
0.128,0.12199,-0.2335,0.22426
0.137,0.1221,-0.23364,0.2241
0.147,0.12211,-0.23382,0.224
0.156,0.12146,-0.23342,0.22407
0.165,0.12205,-0.2333,0.22425
0.175,0.122,-0.2332,0.22402
0.184,0.12178,-0.23352,0.22467
0.193,0.12143,-0.23356,0.22481
0.203,0.12183,-0.23323,0.22449
0.212,0.12176,-0.23353,0.22488
0.221,0.12175,-0.23314,0.22475
0.231,0.12218,-0.23293,0.22449
0.24,0.12223,-0.23325,0.22438
0.249,0.12255,-0.23353,0.2247
0.259,0.12226,-0.23297,0.2244
0.268,0.12288,-0.23342,0.22487
0.278,0.12219,-0.23321,0.22475
0.287,0.12179,-0.23336,0.22474
0.296,0.12208,-0.23337,0.22482
0.306,0.12232,-0.23371,0.22458
0.315,0.12202,-0.23349,0.22481
0.324,0.12199,-0.23322,0.22474
0.334,0.12242,-0.23336,0.22474
0.343,0.12246,-0.23337,0.22474
0.352,0.12215,-0.23337,0.22449
0.362,0.12276,-0.23321,0.22446
0.371,0.12218,-0.23327,0.22429
0.38,0.12244,-0.23328,0.22402
0.39,0.12268,-0.23337,0.22424
0.399,0.12195,-0.23346,0.22427
0.409,0.12209,-0.23363,0.22402
0.418,0.12125,-0.2339,0.22416
0.427,0.1217,-0.23343,0.22468
0.437,0.12207,-0.23338,0.2244
0.446,0.122,-0.23329,0.22445
0.455,0.12167,-0.23378,0.22404
0.465,0.12163,-0.23375,0.22441
0.474,0.12152,-0.2335,0.22454
0.483,0.12184,-0.23355,0.22438
0.493,0.12187,-0.23389,0.22403
0.502,0.12187,-0.23351,0.22408
0.512,0.1223,-0.23372,0.2245
0.521,0.12202,-0.23349,0.22413
0.53,0.12167,-0.23314,0.22426
0.54,0.12185,-0.23285,0.22452
0.549,0.12187,-0.23316,0.22413
0.558,0.12209,-0.23285,0.22409
0.568,0.12243,-0.23316,0.22434
0.577,0.12236,-0.23319,0.22453
0.586,0.12257,-0.23352,0.22438
0.596,0.12259,-0.23356,0.22403
0.605,0.1228,-0.23323,0.22399
0.614,0.12196,-0.23336,0.22399
0.624,0.12263,-0.23337,0.22416
0.633,0.12195,-0.23304,0.22426
0.643,0.12166,-0.23334,0.22444
0.652,0.12271,-0.23329,0.22437
0.661,0.12195,-0.23353,0.22436
0.671,0.12274,-0.23347,0.22428
0.68,0.12196,-0.23339,0.22452
0.689,0.12296,-0.23313,0.22413
0.699,0.12284,-0.23343,0.22451
0.708,0.12315,-0.23338,0.22438
0.717,0.12243,-0.23312,0.22436
0.727,0.12236,-0.23285,0.22436
0.736,0.12213,-0.23332,0.2242
0.746,0.12222,-0.23337,0.22435
0.755,0.12244,-0.23321,0.22453
0.764,0.1229,-0.23327,0.22472
0.774,0.1223,-0.23336,0.22482
0.783,0.12288,-0.23354,0.22449
0.792,0.1224,-0.23322,0.22412
0.802,0.12268,-0.23353,0.224
0.811,0.12217,-0.23356,0.22374
0.82,0.12222,-0.23314,0.22396
0.83,0.12244,-0.23335,0.22458
0.839,0.12193,-0.23346,0.22413
0.849,0.12198,-0.23347,0.22468
0.858,0.12177,-0.23347,0.22423
0.867,0.1224,-0.23347,0.22384
0.877,0.12182,-0.2333,0.22423
